ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;4.9;Ha mejorado notablemente su rendimiento.;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;5.4;Copia en la prueba.;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;5.3;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;5.4;Liderazgo positivo dentro del grupo.;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;4.6;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Música;4.8;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;5.6;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;5.3;Progreso inconsistente, alterna entre notas altas y bajas.;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;4.9;;;0.96;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;5.3;;;0.96;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;5.1;Excelente participación en clases.;;0.96;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Historia;5.8;;;0.96;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Inglés;5.8;;;0.96;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Música;5.5;;;0.96;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Artes Visuales;5.6;;;0.96;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Educación Física;6.1;Liderazgo positivo dentro del grupo.;;0.96;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Lenguaje;6.4;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Matemáticas;5.5;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Ciencias Naturales;5.7;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Historia;6.6;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Inglés;5.3;Colabora activamente con sus compañeros.;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Música;6.2;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Artes Visuales;6.6;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Educación Física;6.3;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
4;Camila Márquez Saavedra;1° Básico A;7;Lenguaje;5.8;;;0.85;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Matemáticas;5.6;Muy responsable y puntual con sus entregas.;;0.85;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Ciencias Naturales;5.3;;;0.85;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Historia;5.0;;;0.85;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Inglés;5.7;Creativo y con gran potencial.;;0.85;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Música;5.6;Ha mejorado notablemente su rendimiento.;;0.85;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Artes Visuales;5.9;Se distrae con facilidad.;;0.85;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Educación Física;5.0;Tímido, le cuesta participar oralmente.;;0.85;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Lenguaje;5.8;Falta de respeto hacia el profesor.;;0.99;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Matemáticas;5.7;;;0.99;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Ciencias Naturales;5.6;;;0.99;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
