ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Jorge Díaz Guerrero;1° Básico A;14;Lenguaje;5.8;Muy responsable y puntual con sus entregas.;Física;0.85;Renata Miranda Valencia;Apoderado: Victoria Díaz Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge Díaz Guerrero;1° Básico A;14;Matemáticas;6.9;;Física;0.85;Renata Miranda Valencia;Apoderado: Victoria Díaz Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge Díaz Guerrero;1° Básico A;14;Ciencias Naturales;6.1;Muy responsable y puntual con sus entregas.;Física;0.85;Renata Miranda Valencia;Apoderado: Victoria Díaz Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge Díaz Guerrero;1° Básico A;14;Historia;6.4;;Física;0.85;Renata Miranda Valencia;Apoderado: Victoria Díaz Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge Díaz Guerrero;1° Básico A;14;Inglés;6.9;Ha mejorado notablemente su rendimiento.;Física;0.85;Renata Miranda Valencia;Apoderado: Victoria Díaz Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge Díaz Guerrero;1° Básico A;14;Música;6.7;;Física;0.85;Renata Miranda Valencia;Apoderado: Victoria Díaz Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge Díaz Guerrero;1° Básico A;14;Artes Visuales;5.6;;Física;0.85;Renata Miranda Valencia;Apoderado: Victoria Díaz Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
1;Jorge Díaz Guerrero;1° Básico A;14;Educación Física;5.9;Copia en la prueba.;Física;0.85;Renata Miranda Valencia;Apoderado: Victoria Díaz Lavandero;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Aurora Tapia Aravena;1° Básico A;9;Lenguaje;5.3;;Inglés;0.95;Fernanda Riquelme Atria;Apoderado: Sebastián Jiménez Flores;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
2;Aurora Tapia Aravena;1° Básico A;9;Matemáticas;4.9;;Inglés;0.95;Fernanda Riquelme Atria;Apoderado: Sebastián Jiménez Flores;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
2;Aurora Tapia Aravena;1° Básico A;9;Ciencias Naturales;4.8;Muy responsable y puntual con sus entregas.;Inglés;0.95;Fernanda Riquelme Atria;Apoderado: Sebastián Jiménez Flores;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
2;Aurora Tapia Aravena;1° Básico A;9;Historia;4.6;;Inglés;0.95;Fernanda Riquelme Atria;Apoderado: Sebastián Jiménez Flores;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
2;Aurora Tapia Aravena;1° Básico A;9;Inglés;4.9;;Inglés;0.95;Fernanda Riquelme Atria;Apoderado: Sebastián Jiménez Flores;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
2;Aurora Tapia Aravena;1° Básico A;9;Música;5.1;Ha mejorado notablemente su rendimiento.;Inglés;0.95;Fernanda Riquelme Atria;Apoderado: Sebastián Jiménez Flores;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
2;Aurora Tapia Aravena;1° Básico A;9;Artes Visuales;5.2;;Inglés;0.95;Fernanda Riquelme Atria;Apoderado: Sebastián Jiménez Flores;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
2;Aurora Tapia Aravena;1° Básico A;9;Educación Física;4.8;;Inglés;0.95;Fernanda Riquelme Atria;Apoderado: Sebastián Jiménez Flores;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
3;Trinidad Aguirre Rojas;1° Básico A;10;Lenguaje;5.4;;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
3;Trinidad Aguirre Rojas;1° Básico A;10;Matemáticas;5.9;Se distrae con facilidad.;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
3;Trinidad Aguirre Rojas;1° Básico A;10;Ciencias Naturales;5.8;Ha mejorado notablemente su rendimiento.;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
3;Trinidad Aguirre Rojas;1° Básico A;10;Historia;5.6;Creativo y con gran potencial.;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
3;Trinidad Aguirre Rojas;1° Básico A;10;Inglés;6.9;Liderazgo positivo dentro del grupo.;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
3;Trinidad Aguirre Rojas;1° Básico A;10;Música;5.6;Excelente participación en clases.;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
3;Trinidad Aguirre Rojas;1° Básico A;10;Artes Visuales;5.9;;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
3;Trinidad Aguirre Rojas;1° Básico A;10;Educación Física;6.3;;Lenguaje;0.98;Sergio Bravo Morales;Apoderado: Pilar Castro Lavandero;Apoderados expresan preocupación por posible situación de acoso escolar. Convivencia Escolar iniciará protocolo de investigación.
4;Miguel Araya Tapia;1° Básico A;14;Lenguaje;6.2;Excelente participación en clases.;Matemáticas;0.89;Lucía Morales Aravena;Apoderado: Mario Miranda Rodríguez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
4;Miguel Araya Tapia;1° Básico A;14;Matemáticas;5.3;Liderazgo positivo dentro del grupo.;Matemáticas;0.89;Lucía Morales Aravena;Apoderado: Mario Miranda Rodríguez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
4;Miguel Araya Tapia;1° Básico A;14;Ciencias Naturales;5.8;;Matemáticas;0.89;Lucía Morales Aravena;Apoderado: Mario Miranda Rodríguez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
4;Miguel Araya Tapia;1° Básico A;14;Historia;5.6;;Matemáticas;0.89;Lucía Morales Aravena;Apoderado: Mario Miranda Rodríguez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
4;Miguel Araya Tapia;1° Básico A;14;Inglés;5.4;;Matemáticas;0.89;Lucía Morales Aravena;Apoderado: Mario Miranda Rodríguez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
4;Miguel Araya Tapia;1° Básico A;14;Música;5.5;;Matemáticas;0.89;Lucía Morales Aravena;Apoderado: Mario Miranda Rodríguez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
4;Miguel Araya Tapia;1° Básico A;14;Artes Visuales;5.4;;Matemáticas;0.89;Lucía Morales Aravena;Apoderado: Mario Miranda Rodríguez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
4;Miguel Araya Tapia;1° Básico A;14;Educación Física;6.0;;Matemáticas;0.89;Lucía Morales Aravena;Apoderado: Mario Miranda Rodríguez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
5;Paz Figueroa Reyes;1° Básico A;14;Lenguaje;5.8;;;0.92;Sofía Miranda Bravo;Apoderado: Álvaro Vega Flores;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
