ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Andrea Saavedra Reyes;1° Básico A;14;Lenguaje;5.5;Liderazgo positivo dentro del grupo.;Física;1.0;Ignacio Baltra;Apoderado: Andrea Saavedra;Los apoderados solicitan al colegio que su hijo sea incorporado a la selección de futbol.
1;Andrea Saavedra Reyes;1° Básico A;14;Matemáticas;6.6;;Física;1.0;Ignacio Baltra;Apoderado: Andrea Saavedra;Los apoderados solicitan al colegio que su hijo sea incorporado a la selección de futbol.
1;Andrea Saavedra Reyes;1° Básico A;14;Ciencias Naturales;5.7;;Física;1.0;Ignacio Baltra;Apoderado: Andrea Saavedra;Los apoderados solicitan al colegio que su hijo sea incorporado a la selección de futbol.
1;Andrea Saavedra Reyes;1° Básico A;14;Historia;5.8;Liderazgo positivo dentro del grupo.;Física;1.0;Ignacio Baltra;Apoderado: Andrea Saavedra;Los apoderados solicitan al colegio que su hijo sea incorporado a la selección de futbol.
1;Andrea Saavedra Reyes;1° Básico A;14;Inglés;6.7;;Física;1.0;Ignacio Baltra;Apoderado: Andrea Saavedra;Los apoderados solicitan al colegio que su hijo sea incorporado a la selección de futbol.
1;Andrea Saavedra Reyes;1° Básico A;14;Música;5.6;Colabora activamente con sus compañeros.;Física;1.0;Ignacio Baltra;Apoderado: Andrea Saavedra;Los apoderados solicitan al colegio que su hijo sea incorporado a la selección de futbol.
1;Andrea Saavedra Reyes;1° Básico A;14;Artes Visuales;6.7;;Física;1.0;Ignacio Baltra;Apoderado: Andrea Saavedra;Los apoderados solicitan al colegio que su hijo sea incorporado a la selección de futbol.
1;Andrea Saavedra Reyes;1° Básico A;14;Educación Física;4.9;;Física;1.0;Ignacio Baltra;Apoderado: Andrea Saavedra;Los apoderados solicitan al colegio que su hijo sea incorporado a la selección de futbol.
2;Sofía Gutiérrez Gutiérrez;1° Básico A;12;Lenguaje;6.2;Creativo y con gran potencial.;Física;0.94;Esteban Herrera;Apoderado: Felipe Campos;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Sofía Gutiérrez Gutiérrez;1° Básico A;12;Matemáticas;6.4;;Física;0.94;Esteban Herrera;Apoderado: Felipe Campos;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Sofía Gutiérrez Gutiérrez;1° Básico A;12;Ciencias Naturales;5.4;;Física;0.94;Esteban Herrera;Apoderado: Felipe Campos;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Sofía Gutiérrez Gutiérrez;1° Básico A;12;Historia;5.7;;Física;0.94;Esteban Herrera;Apoderado: Felipe Campos;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Sofía Gutiérrez Gutiérrez;1° Básico A;12;Inglés;6.9;;Física;0.94;Esteban Herrera;Apoderado: Felipe Campos;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Sofía Gutiérrez Gutiérrez;1° Básico A;12;Música;6.9;;Física;0.94;Esteban Herrera;Apoderado: Felipe Campos;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Sofía Gutiérrez Gutiérrez;1° Básico A;12;Artes Visuales;5.5;;Física;0.94;Esteban Herrera;Apoderado: Felipe Campos;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Sofía Gutiérrez Gutiérrez;1° Básico A;12;Educación Física;4.4;;Física;0.94;Esteban Herrera;Apoderado: Felipe Campos;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
3;María Muñoz Ortega;1° Básico A;14;Lenguaje;5.9;Excelente participación en clases.;;0.9;Fernanda Figueroa;Apoderado: Pedro Vega;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
3;María Muñoz Ortega;1° Básico A;14;Matemáticas;4.9;Registra agresiones físicas a compañeros.;;0.9;Fernanda Figueroa;Apoderado: Pedro Vega;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
3;María Muñoz Ortega;1° Básico A;14;Ciencias Naturales;4.9;;;0.9;Fernanda Figueroa;Apoderado: Pedro Vega;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
3;María Muñoz Ortega;1° Básico A;14;Historia;5.9;Liderazgo positivo dentro del grupo.;;0.9;Fernanda Figueroa;Apoderado: Pedro Vega;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
3;María Muñoz Ortega;1° Básico A;14;Inglés;4.9;Copia en la prueba.;;0.9;Fernanda Figueroa;Apoderado: Pedro Vega;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
3;María Muñoz Ortega;1° Básico A;14;Música;6.0;;;0.9;Fernanda Figueroa;Apoderado: Pedro Vega;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
3;María Muñoz Ortega;1° Básico A;14;Artes Visuales;5.3;Muy responsable y puntual con sus entregas.;;0.9;Fernanda Figueroa;Apoderado: Pedro Vega;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
3;María Muñoz Ortega;1° Básico A;14;Educación Física;5.5;Falta de estudio y preparación para las evaluaciones.;;0.9;Fernanda Figueroa;Apoderado: Pedro Vega;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
4;Francisca Araya Herrera;1° Básico A;8;Lenguaje;5.7;Liderazgo positivo dentro del grupo.;;0.9;Esteban Díaz;Apoderado: Alicia Silva;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
4;Francisca Araya Herrera;1° Básico A;8;Matemáticas;6.4;;;0.9;Esteban Díaz;Apoderado: Alicia Silva;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
4;Francisca Araya Herrera;1° Básico A;8;Ciencias Naturales;6.3;;;0.9;Esteban Díaz;Apoderado: Alicia Silva;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
4;Francisca Araya Herrera;1° Básico A;8;Historia;6.1;;;0.9;Esteban Díaz;Apoderado: Alicia Silva;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
4;Francisca Araya Herrera;1° Básico A;8;Inglés;6.1;;;0.9;Esteban Díaz;Apoderado: Alicia Silva;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
4;Francisca Araya Herrera;1° Básico A;8;Música;5.9;;;0.9;Esteban Díaz;Apoderado: Alicia Silva;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
4;Francisca Araya Herrera;1° Básico A;8;Artes Visuales;5.8;Liderazgo positivo dentro del grupo.;;0.9;Esteban Díaz;Apoderado: Alicia Silva;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
4;Francisca Araya Herrera;1° Básico A;8;Educación Física;6.5;;;0.9;Esteban Díaz;Apoderado: Alicia Silva;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
5;Nicolás Pérez Contreras;1° Básico A;9;Lenguaje;7.0;;Inglés;0.92;Benjamín Sepúlveda;Apoderado: Nicolás Márquez;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
5;Nicolás Pérez Contreras;1° Básico A;9;Matemáticas;6.1;;Inglés;0.92;Benjamín Sepúlveda;Apoderado: Nicolás Márquez;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
5;Nicolás Pérez Contreras;1° Básico A;9;Ciencias Naturales;6.4;;Inglés;0.92;Benjamín Sepúlveda;Apoderado: Nicolás Márquez;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
5;Nicolás Pérez Contreras;1° Básico A;9;Historia;6.9;Creativo y con gran potencial.;Inglés;0.92;Benjamín Sepúlveda;Apoderado: Nicolás Márquez;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
5;Nicolás Pérez Contreras;1° Básico A;9;Inglés;6.2;Demuestra gran interés por la asignatura.;Inglés;0.92;Benjamín Sepúlveda;Apoderado: Nicolás Márquez;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
5;Nicolás Pérez Contreras;1° Básico A;9;Música;7.0;;Inglés;0.92;Benjamín Sepúlveda;Apoderado: Nicolás Márquez;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
5;Nicolás Pérez Contreras;1° Básico A;9;Artes Visuales;6.7;Ha mejorado notablemente su rendimiento.;Inglés;0.92;Benjamín Sepúlveda;Apoderado: Nicolás Márquez;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
5;Nicolás Pérez Contreras;1° Básico A;9;Educación Física;7.0;;Inglés;0.92;Benjamín Sepúlveda;Apoderado: Nicolás Márquez;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
6;Javiera Rojas Figueroa;1° Básico A;9;Lenguaje;5.8;;Inglés;0.92;Matías Arteaga;Apoderado: Antonia Carrasco;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
6;Javiera Rojas Figueroa;1° Básico A;9;Matemáticas;6.5;;Inglés;0.92;Matías Arteaga;Apoderado: Antonia Carrasco;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
6;Javiera Rojas Figueroa;1° Básico A;9;Ciencias Naturales;6.7;;Inglés;0.92;Matías Arteaga;Apoderado: Antonia Carrasco;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
6;Javiera Rojas Figueroa;1° Básico A;9;Historia;6.5;Muy responsable y puntual con sus entregas.;Inglés;0.92;Matías Arteaga;Apoderado: Antonia Carrasco;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
6;Javiera Rojas Figueroa;1° Básico A;9;Inglés;5.5;Excelente participación en clases.;Inglés;0.92;Matías Arteaga;Apoderado: Antonia Carrasco;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
6;Javiera Rojas Figueroa;1° Básico A;9;Música;6.7;Excelente participación en clases.;Inglés;0.92;Matías Arteaga;Apoderado: Antonia Carrasco;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
6;Javiera Rojas Figueroa;1° Básico A;9;Artes Visuales;5.9;Tímido, le cuesta participar oralmente.;Inglés;0.92;Matías Arteaga;Apoderado: Antonia Carrasco;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
6;Javiera Rojas Figueroa;1° Básico A;9;Educación Física;6.5;;Inglés;0.92;Matías Arteaga;Apoderado: Antonia Carrasco;Los apoderados informan que están en un proceso de separación y que eso ha afectado a sus hijos.
7;Pablo Carrasco Díaz;1° Básico A;11;Lenguaje;6.3;;;0.89;Martina Vega;Apoderado: Tomás Hidalgo;Apoderado: Padres manifiestan que están viviendo situación de separación que ha afectado a sus hijos.
7;Pablo Carrasco Díaz;1° Básico A;11;Matemáticas;6.1;Excelente participación en clases.;;0.89;Martina Vega;Apoderado: Tomás Hidalgo;Apoderado: Padres manifiestan que están viviendo situación de separación que ha afectado a sus hijos.
