ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;4.3;;Inglés;0.92;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;5.1;Colabora activamente con sus compañeros.;Inglés;0.92;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;5.4;;Inglés;0.92;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;4.4;;Inglés;0.92;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;4.7;;Inglés;0.92;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Música;4.6;;Inglés;0.92;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;5.6;;Inglés;0.92;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;5.0;Copia en la prueba.;Inglés;0.92;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;4.8;;;0.95;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;5.7;Ha mejorado notablemente su rendimiento.;;0.95;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;6.0;Creativo y con gran potencial.;;0.95;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Historia;4.8;;;0.95;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Inglés;6.1;Liderazgo positivo dentro del grupo.;;0.95;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Música;5.3;;;0.95;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
