ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;5.5;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;6.2;Excelente participación en clases.;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;6.1;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;5.3;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;4.8;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Música;5.4;Muy responsable y puntual con sus entregas.;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;5.2;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;5.5;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;6.7;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;5.6;Molesta a sus compañeros e interrumpe la clase.;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;6.8;Excelente participación en clases.;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Historia;5.7;Colabora activamente con sus compañeros.;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Inglés;6.7;Colabora activamente con sus compañeros.;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Música;5.3;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Artes Visuales;5.8;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Educación Física;6.3;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;El colegio hace saber a los apoderados la preocupación por el mal comportamiento de su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Lenguaje;7.0;;;0.94;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Matemáticas;6.7;;;0.94;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Ciencias Naturales;7.0;Excelente participación en clases.;;0.94;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Historia;6.5;;;0.94;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Inglés;7.0;;;0.94;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Música;6.4;Muy responsable y puntual con sus entregas.;;0.94;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Artes Visuales;6.2;;;0.94;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Educación Física;6.9;;;0.94;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Lenguaje;6.6;;;0.92;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Matemáticas;6.2;;;0.92;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Ciencias Naturales;6.0;;;0.92;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Historia;5.8;;;0.92;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Inglés;5.1;;;0.92;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Música;5.1;Muy responsable y puntual con sus entregas.;;0.92;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Artes Visuales;5.4;Progreso inconsistente, alterna entre notas altas y bajas.;;0.92;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Educación Física;6.6;Ha mejorado notablemente su rendimiento.;;0.92;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Lenguaje;6.3;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Matemáticas;6.3;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Ciencias Naturales;6.3;Demuestra gran interés por la asignatura.;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Historia;7.0;Demuestra gran interés por la asignatura.;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Inglés;6.5;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Música;6.1;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Artes Visuales;5.9;Se distrae con facilidad.;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Educación Física;7.0;Demuestra gran interés por la asignatura.;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Lenguaje;5.4;;;0.88;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Matemáticas;5.7;;;0.88;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Ciencias Naturales;5.4;;;0.88;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Historia;4.4;;;0.88;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Inglés;4.5;;;0.88;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Música;5.3;;;0.88;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Artes Visuales;4.9;;;0.88;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Educación Física;4.5;;;0.88;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Lenguaje;3.9;Registra agresiones físicas a compañeros.;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Matemáticas;4.1;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Ciencias Naturales;4.2;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Historia;3.3;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Inglés;4.5;Creativo y con gran potencial.;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Música;3.4;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Artes Visuales;4.3;Excelente participación en clases.;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Educación Física;4.5;Falta de respeto hacia el profesor.;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Lenguaje;6.0;Copia en la prueba.;;1.0;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Matemáticas;5.7;Demuestra gran interés por la asignatura.;;1.0;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Ciencias Naturales;5.5;Registra agresiones físicas a compañeros.;;1.0;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Historia;6.1;Colabora activamente con sus compañeros.;;1.0;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Inglés;6.1;;;1.0;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Música;4.7;;;1.0;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Artes Visuales;5.3;Progreso inconsistente, alterna entre notas altas y bajas.;;1.0;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Educación Física;4.9;Excelente participación en clases.;;1.0;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Lenguaje;3.5;Molesta a sus compañeros e interrumpe la clase.;;0.94;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Matemáticas;3.7;;;0.94;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Ciencias Naturales;3.8;;;0.94;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Historia;4.3;Creativo y con gran potencial.;;0.94;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Inglés;4.0;;;0.94;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Música;3.7;;;0.94;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Artes Visuales;4.1;;;0.94;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Educación Física;3.7;;;0.94;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Lenguaje;6.3;;;0.97;Camila Muñoz;Apoderado: Ignacio Araya;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Matemáticas;5.9;;;0.97;Camila Muñoz;Apoderado: Ignacio Araya;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Ciencias Naturales;6.9;Liderazgo positivo dentro del grupo.;;0.97;Camila Muñoz;Apoderado: Ignacio Araya;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Historia;5.5;;;0.97;Camila Muñoz;Apoderado: Ignacio Araya;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Inglés;6.3;Colabora activamente con sus compañeros.;;0.97;Camila Muñoz;Apoderado: Ignacio Araya;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Música;5.9;Demuestra gran interés por la asignatura.;;0.97;Camila Muñoz;Apoderado: Ignacio Araya;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Artes Visuales;6.0;Tímido, le cuesta participar oralmente.;;0.97;Camila Muñoz;Apoderado: Ignacio Araya;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Educación Física;6.2;;;0.97;Camila Muñoz;Apoderado: Ignacio Araya;Sin entrevistas registradas.
11;Diego Rojas Pérez;2° Básico A;8;Lenguaje;6.3;Colabora activamente con sus compañeros.;;0.9;Valentina Salazar;Apoderado: Nicolás Salazar;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
11;Diego Rojas Pérez;2° Básico A;8;Matemáticas;6.4;;;0.9;Valentina Salazar;Apoderado: Nicolás Salazar;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
11;Diego Rojas Pérez;2° Básico A;8;Ciencias Naturales;5.9;;;0.9;Valentina Salazar;Apoderado: Nicolás Salazar;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
11;Diego Rojas Pérez;2° Básico A;8;Historia;5.9;;;0.9;Valentina Salazar;Apoderado: Nicolás Salazar;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
11;Diego Rojas Pérez;2° Básico A;8;Inglés;5.4;;;0.9;Valentina Salazar;Apoderado: Nicolás Salazar;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
11;Diego Rojas Pérez;2° Básico A;8;Música;5.5;;;0.9;Valentina Salazar;Apoderado: Nicolás Salazar;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
11;Diego Rojas Pérez;2° Básico A;8;Artes Visuales;5.3;Muy responsable y puntual con sus entregas.;;0.9;Valentina Salazar;Apoderado: Nicolás Salazar;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
11;Diego Rojas Pérez;2° Básico A;8;Educación Física;5.8;;;0.9;Valentina Salazar;Apoderado: Nicolás Salazar;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
12;Javiera Pérez Tapia;2° Básico A;8;Lenguaje;7.0;;;0.86;José Riquelme;Apoderado: Marisol Soto;Sin entrevistas registradas.
12;Javiera Pérez Tapia;2° Básico A;8;Matemáticas;5.7;;;0.86;José Riquelme;Apoderado: Marisol Soto;Sin entrevistas registradas.
12;Javiera Pérez Tapia;2° Básico A;8;Ciencias Naturales;6.0;;;0.86;José Riquelme;Apoderado: Marisol Soto;Sin entrevistas registradas.
12;Javiera Pérez Tapia;2° Básico A;8;Historia;5.9;;;0.86;José Riquelme;Apoderado: Marisol Soto;Sin entrevistas registradas.
12;Javiera Pérez Tapia;2° Básico A;8;Inglés;6.6;Liderazgo positivo dentro del grupo.;;0.86;José Riquelme;Apoderado: Marisol Soto;Sin entrevistas registradas.
12;Javiera Pérez Tapia;2° Básico A;8;Música;5.7;Falta de respeto hacia el profesor.;;0.86;José Riquelme;Apoderado: Marisol Soto;Sin entrevistas registradas.
12;Javiera Pérez Tapia;2° Básico A;8;Artes Visuales;7.0;;;0.86;José Riquelme;Apoderado: Marisol Soto;Sin entrevistas registradas.
12;Javiera Pérez Tapia;2° Básico A;8;Educación Física;6.7;;;0.86;José Riquelme;Apoderado: Marisol Soto;Sin entrevistas registradas.
13;Luis Baltra Ibarra;2° Básico A;8;Lenguaje;4.6;;;1.0;Gabriela Vásquez;Apoderado: Esteban Riquelme;Se conversa con apoderado sobre la importancia de reforzar hábitos de estudio en casa.
13;Luis Baltra Ibarra;2° Básico A;8;Matemáticas;3.9;Dificultad para concentrarse en clases.;;1.0;Gabriela Vásquez;Apoderado: Esteban Riquelme;Se conversa con apoderado sobre la importancia de reforzar hábitos de estudio en casa.
13;Luis Baltra Ibarra;2° Básico A;8;Ciencias Naturales;4.8;;;1.0;Gabriela Vásquez;Apoderado: Esteban Riquelme;Se conversa con apoderado sobre la importancia de reforzar hábitos de estudio en casa.
