ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;5.2;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;6.3;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;5.1;Tímido, le cuesta participar oralmente.;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;5.6;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;4.3;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Música;5.1;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;5.4;;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;5.5;Tímido, le cuesta participar oralmente.;Inglés;0.95;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;6.2;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;5.9;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;6.7;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Historia;5.6;Falta de estudio y preparación para las evaluaciones.;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Inglés;6.2;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Música;6.0;Excelente participación en clases.;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Artes Visuales;5.7;Ha mejorado notablemente su rendimiento.;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
2;Isabella Herrera Tapia;1° Básico A;7;Educación Física;6.4;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;Se cita a apoderado por reiteradas faltas de respeto a inspectores. Apoderado se compromete a conversar con su hijo.
3;Benjamín Baltra Baltra;1° Básico A;7;Lenguaje;6.5;Muy responsable y puntual con sus entregas.;;0.93;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Matemáticas;7.0;Excelente participación en clases.;;0.93;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Ciencias Naturales;6.0;;;0.93;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Historia;5.8;;;0.93;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Inglés;6.2;Liderazgo positivo dentro del grupo.;;0.93;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Música;7.0;;;0.93;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Artes Visuales;6.2;Colabora activamente con sus compañeros.;;0.93;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Educación Física;6.2;Muy responsable y puntual con sus entregas.;;0.93;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Lenguaje;5.3;;;0.91;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Matemáticas;5.1;;;0.91;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Ciencias Naturales;6.5;;;0.91;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Historia;5.5;;;0.91;Marisol Ibarra;Apoderado: María Castro;Sin entrevistas registradas.
