ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;5.5;Se distrae con facilidad.;Inglés;0.87;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;5.6;Falta de respeto hacia el profesor.;Inglés;0.87;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;4.9;;Inglés;0.87;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;4.6;Liderazgo positivo dentro del grupo.;Inglés;0.87;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;3.8;Se distrae con facilidad.;Inglés;0.87;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Música;5.5;Ha mejorado notablemente su rendimiento.;Inglés;0.87;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;5.9;;Inglés;0.87;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;5.0;;Inglés;0.87;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;5.5;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;"Conversación sobre la integración social del estudiante. Apoderados mencionan que es tímido; se acuerda fomentar participación en clases."
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;6.4;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;"Conversación sobre la integración social del estudiante. Apoderados mencionan que es tímido; se acuerda fomentar participación en clases."
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;6.1;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;"Conversación sobre la integración social del estudiante. Apoderados mencionan que es tímido; se acuerda fomentar participación en clases."
2;Isabella Herrera Tapia;1° Básico A;7;Historia;5.1;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;"Conversación sobre la integración social del estudiante. Apoderados mencionan que es tímido; se acuerda fomentar participación en clases."
2;Isabella Herrera Tapia;1° Básico A;7;Inglés;6.5;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;"Conversación sobre la integración social del estudiante. Apoderados mencionan que es tímido; se acuerda fomentar participación en clases."
2;Isabella Herrera Tapia;1° Básico A;7;Música;6.4;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;"Conversación sobre la integración social del estudiante. Apoderados mencionan que es tímido; se acuerda fomentar participación en clases."
2;Isabella Herrera Tapia;1° Básico A;7;Artes Visuales;5.5;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;"Conversación sobre la integración social del estudiante. Apoderados mencionan que es tímido; se acuerda fomentar participación en clases."
2;Isabella Herrera Tapia;1° Básico A;7;Educación Física;5.5;;;0.99;Sofía Prieto;Apoderado: Fernanda Soto;"Conversación sobre la integración social del estudiante. Apoderados mencionan que es tímido; se acuerda fomentar participación en clases."
3;Benjamín Baltra Baltra;1° Básico A;7;Lenguaje;7.0;Liderazgo positivo dentro del grupo.;;0.9;Antonia Carrasco;Apoderado: Francisca Márquez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
3;Benjamín Baltra Baltra;1° Básico A;7;Matemáticas;5.8;;;0.9;Antonia Carrasco;Apoderado: Francisca Márquez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
3;Benjamín Baltra Baltra;1° Básico A;7;Ciencias Naturales;6.5;Creativo y con gran potencial.;;0.9;Antonia Carrasco;Apoderado: Francisca Márquez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
3;Benjamín Baltra Baltra;1° Básico A;7;Historia;6.8;;;0.9;Antonia Carrasco;Apoderado: Francisca Márquez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
3;Benjamín Baltra Baltra;1° Básico A;7;Inglés;6.8;;;0.9;Antonia Carrasco;Apoderado: Francisca Márquez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
3;Benjamín Baltra Baltra;1° Básico A;7;Música;6.0;;;0.9;Antonia Carrasco;Apoderado: Francisca Márquez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
3;Benjamín Baltra Baltra;1° Básico A;7;Artes Visuales;6.4;Demuestra gran interés por la asignatura.;;0.9;Antonia Carrasco;Apoderado: Francisca Márquez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
3;Benjamín Baltra Baltra;1° Básico A;7;Educación Física;5.9;;;0.9;Antonia Carrasco;Apoderado: Francisca Márquez;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
4;Camila Márquez Saavedra;1° Básico A;7;Lenguaje;5.6;;;0.9;Marisol Ibarra;Apoderado: María Castro;Apoderado: Se observa con los apoderados una mejora en la intención de estudios.
4;Camila Márquez Saavedra;1° Básico A;7;Matemáticas;6.0;Falta de estudio y preparación para las evaluaciones.;;0.9;Marisol Ibarra;Apoderado: María Castro;Apoderado: Se observa con los apoderados una mejora en la intención de estudios.
4;Camila Márquez Saavedra;1° Básico A;7;Ciencias Naturales;6.1;;;0.9;Marisol Ibarra;Apoderado: María Castro;Apoderado: Se observa con los apoderados una mejora en la intención de estudios.
4;Camila Márquez Saavedra;1° Básico A;7;Historia;5.6;;;0.9;Marisol Ibarra;Apoderado: María Castro;Apoderado: Se observa con los apoderados una mejora en la intención de estudios.
4;Camila Márquez Saavedra;1° Básico A;7;Inglés;5.7;Copia en la prueba.;;0.9;Marisol Ibarra;Apoderado: María Castro;Apoderado: Se observa con los apoderados una mejora en la intención de estudios.
4;Camila Márquez Saavedra;1° Básico A;7;Música;5.0;Creativo y con gran potencial.;;0.9;Marisol Ibarra;Apoderado: María Castro;Apoderado: Se observa con los apoderados una mejora en la intención de estudios.
4;Camila Márquez Saavedra;1° Básico A;7;Artes Visuales;6.3;;;0.9;Marisol Ibarra;Apoderado: María Castro;Apoderado: Se observa con los apoderados una mejora en la intención de estudios.
4;Camila Márquez Saavedra;1° Básico A;7;Educación Física;6.3;;;0.9;Marisol Ibarra;Apoderado: María Castro;Apoderado: Se observa con los apoderados una mejora en la intención de estudios.
5;Antonia Romero Vásquez;1° Básico A;7;Lenguaje;6.2;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Matemáticas;6.8;Demuestra gran interés por la asignatura.;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Ciencias Naturales;6.9;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Historia;6.5;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Inglés;6.9;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Música;5.5;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Artes Visuales;5.5;Creativo y con gran potencial.;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
5;Antonia Romero Vásquez;1° Básico A;7;Educación Física;6.3;;;0.88;Mario Riquelme;Apoderado: Ana Castro;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Lenguaje;4.4;;;0.96;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Matemáticas;4.5;;;0.96;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Ciencias Naturales;4.5;Colabora activamente con sus compañeros.;;0.96;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Historia;5.3;Registra agresiones físicas a compañeros.;;0.96;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Inglés;5.2;Liderazgo positivo dentro del grupo.;;0.96;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Música;5.4;Creativo y con gran potencial.;;0.96;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Artes Visuales;5.5;;;0.96;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
6;María Escobar Soto;1° Básico B;7;Educación Física;4.7;Demuestra gran interés por la asignatura.;;0.96;Andrea Campos;Apoderado: Francisca Soto;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Lenguaje;2.9;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Matemáticas;3.2;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Ciencias Naturales;4.0;Molesta a sus compañeros e interrumpe la clase.;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Historia;2.6;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Inglés;3.1;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Música;3.2;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Artes Visuales;3.5;;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
7;Fernanda Ibarra Carrasco;1° Básico B;7;Educación Física;3.2;Se distrae con facilidad.;;0.97;Isabella Hidalgo;Apoderado: Javiera Figueroa;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Lenguaje;4.9;Se distrae con facilidad.;;0.96;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Matemáticas;4.8;Se distrae con facilidad.;;0.96;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Ciencias Naturales;5.9;;;0.96;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Historia;5.8;;;0.96;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Inglés;4.8;;;0.96;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Música;5.1;Creativo y con gran potencial.;;0.96;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Artes Visuales;5.1;;;0.96;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
8;Ana Salazar Saavedra;1° Básico B;7;Educación Física;5.6;;;0.96;Paula Escobar;Apoderado: Benjamín Aguirre;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Lenguaje;2.8;Molesta a sus compañeros e interrumpe la clase.;;0.99;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Matemáticas;3.5;;;0.99;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Ciencias Naturales;3.8;;;0.99;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Historia;3.7;;;0.99;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Inglés;2.7;;;0.99;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Música;2.9;Progreso inconsistente, alterna entre notas altas y bajas.;;0.99;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Artes Visuales;3.0;;;0.99;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
9;Diego Arteaga Herrera;1° Básico B;7;Educación Física;2.6;Tímido, le cuesta participar oralmente.;;0.99;Antonia Morales;Apoderado: Gabriela Rojas;Sin entrevistas registradas.
10;María López Herrera;2° Básico A;8;Lenguaje;6.5;;;0.95;Camila Muñoz;Apoderado: Ignacio Araya;Apoderado informa que el estudiante presenta dificultades de concentración en casa y solicita estrategias de apoyo.
