ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;5.3;;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Se informa al apoderado sobre la falta recurrente de entrega de tareas. Apoderado se compromete a revisar la agenda escolar diariamente.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;5.1;Excelente participación en clases.;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Se informa al apoderado sobre la falta recurrente de entrega de tareas. Apoderado se compromete a revisar la agenda escolar diariamente.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;5.2;Registra agresiones físicas a compañeros.;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Se informa al apoderado sobre la falta recurrente de entrega de tareas. Apoderado se compromete a revisar la agenda escolar diariamente.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;5.9;Progreso inconsistente, alterna entre notas altas y bajas.;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Se informa al apoderado sobre la falta recurrente de entrega de tareas. Apoderado se compromete a revisar la agenda escolar diariamente.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;4.1;;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Se informa al apoderado sobre la falta recurrente de entrega de tareas. Apoderado se compromete a revisar la agenda escolar diariamente.
1;Ana Pizarro Salazar;1° Básico A;7;Música;5.9;;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Se informa al apoderado sobre la falta recurrente de entrega de tareas. Apoderado se compromete a revisar la agenda escolar diariamente.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;5.1;Registra agresiones físicas a compañeros.;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Se informa al apoderado sobre la falta recurrente de entrega de tareas. Apoderado se compromete a revisar la agenda escolar diariamente.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;5.6;;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Se informa al apoderado sobre la falta recurrente de entrega de tareas. Apoderado se compromete a revisar la agenda escolar diariamente.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;6.8;;;0.66;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;7.0;;;0.66;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
