ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;5.7;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;6.0;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;5.6;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;5.4;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;3.9;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Música;4.7;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;6.0;Creativo y con gran potencial.;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;6.2;Colabora activamente con sus compañeros.;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;5.5;Demuestra gran interés por la asignatura.;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;5.5;Colabora activamente con sus compañeros.;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;6.7;;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Apoderado solicita reunión con UTP para revisar la cobertura curricular y los métodos de evaluación de la asignatura de Inglés.
