ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;5.4;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;5.3;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;5.9;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;5.6;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;3.8;Copia en la prueba.;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Música;5.4;;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;4.9;Falta de respeto hacia el profesor.;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;5.4;Demuestra gran interés por la asignatura.;Inglés;0.9;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;6.1;Demuestra gran interés por la asignatura.;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;5.7;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;5.4;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Historia;5.7;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Inglés;5.5;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Música;5.4;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Artes Visuales;5.5;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Educación Física;6.4;;;0.98;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Lenguaje;6.2;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
3;Benjamín Baltra Baltra;1° Básico A;7;Matemáticas;5.8;Falta de respeto hacia el profesor.;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
