ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;5.6;Progreso inconsistente, alterna entre notas altas y bajas.;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;5.8;;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;6.0;Dificultad para concentrarse en clases.;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;5.0;;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;4.6;Falta de respeto hacia el profesor.;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
1;Ana Pizarro Salazar;1° Básico A;7;Música;5.0;Se distrae con facilidad.;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;5.4;;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;4.8;;Inglés;0.91;Marisol Pérez;Apoderado: Isabella Riquelme;Apoderado justifica inasistencias por viaje familiar, presenta justificativo médico.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;5.3;;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;5.8;;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;6.1;Liderazgo positivo dentro del grupo.;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
2;Isabella Herrera Tapia;1° Básico A;7;Historia;6.4;;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
2;Isabella Herrera Tapia;1° Básico A;7;Inglés;6.5;Liderazgo positivo dentro del grupo.;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
2;Isabella Herrera Tapia;1° Básico A;7;Música;6.4;;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
2;Isabella Herrera Tapia;1° Básico A;7;Artes Visuales;6.5;;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
2;Isabella Herrera Tapia;1° Básico A;7;Educación Física;6.2;;;0.9;Sofía Prieto;Apoderado: Fernanda Soto;Se destaca al apoderado el excelente desempeño del estudiante en el debate de Historia, mostrando gran liderazgo.
