ID Estudiante;Nombre;curso;edad;Asignatura;Nota;Observacion de conducta;materias_debiles;Asistencia;profesor;Familia;Entrevistas
1;Ana Pizarro Salazar;1° Básico A;7;Lenguaje;4.9;;Inglés;0.99;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Matemáticas;5.8;;Inglés;0.99;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Ciencias Naturales;4.6;Liderazgo positivo dentro del grupo.;Inglés;0.99;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Historia;5.5;;Inglés;0.99;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Inglés;5.3;;Inglés;0.99;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Música;5.9;Ha mejorado notablemente su rendimiento.;Inglés;0.99;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Artes Visuales;6.1;;Inglés;0.99;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
1;Ana Pizarro Salazar;1° Básico A;7;Educación Física;4.7;;Inglés;0.99;Marisol Pérez;Apoderado: Isabella Riquelme;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Lenguaje;6.3;Excelente participación en clases.;;0.85;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Matemáticas;5.1;Excelente participación en clases.;;0.85;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Ciencias Naturales;5.2;Demuestra gran interés por la asignatura.;;0.85;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Historia;5.3;;;0.85;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Inglés;5.2;Registra agresiones físicas a compañeros.;;0.85;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Música;6.1;;;0.85;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Artes Visuales;5.1;Excelente participación en clases.;;0.85;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
2;Isabella Herrera Tapia;1° Básico A;7;Educación Física;5.2;Liderazgo positivo dentro del grupo.;;0.85;Sofía Prieto;Apoderado: Fernanda Soto;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Lenguaje;7.0;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Matemáticas;6.7;Muy responsable y puntual con sus entregas.;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Ciencias Naturales;5.6;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Historia;6.6;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Inglés;6.5;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Música;6.2;Ha mejorado notablemente su rendimiento.;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Artes Visuales;6.6;;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
3;Benjamín Baltra Baltra;1° Básico A;7;Educación Física;6.6;Demuestra gran interés por la asignatura.;;0.87;Antonia Carrasco;Apoderado: Francisca Márquez;Sin entrevistas registradas.
4;Camila Márquez Saavedra;1° Básico A;7;Lenguaje;6.2;;;0.91;Marisol Ibarra;Apoderado: María Castro;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
4;Camila Márquez Saavedra;1° Básico A;7;Matemáticas;5.7;;;0.91;Marisol Ibarra;Apoderado: María Castro;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
4;Camila Márquez Saavedra;1° Básico A;7;Ciencias Naturales;5.9;;;0.91;Marisol Ibarra;Apoderado: María Castro;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
4;Camila Márquez Saavedra;1° Básico A;7;Historia;5.8;Muy responsable y puntual con sus entregas.;;0.91;Marisol Ibarra;Apoderado: María Castro;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
4;Camila Márquez Saavedra;1° Básico A;7;Inglés;6.1;;;0.91;Marisol Ibarra;Apoderado: María Castro;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
4;Camila Márquez Saavedra;1° Básico A;7;Música;6.3;;;0.91;Marisol Ibarra;Apoderado: María Castro;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
4;Camila Márquez Saavedra;1° Básico A;7;Artes Visuales;5.1;Se distrae con facilidad.;;0.91;Marisol Ibarra;Apoderado: María Castro;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
4;Camila Márquez Saavedra;1° Básico A;7;Educación Física;5.5;Muy responsable y puntual con sus entregas.;;0.91;Marisol Ibarra;Apoderado: María Castro;Reunión de seguimiento con apoderado. Se revisan los compromisos de la entrevista anterior y se constatan avances positivos en la conducta.
5;Antonia Romero Vásquez;1° Básico A;7;Lenguaje;6.9;;;0.92;Mario Riquelme;Apoderado: Ana Castro;Apoderado informa diagnóstico reciente de TDAH del estudiante. Se acuerda derivar a equipo PIE para evaluación de apoyos.
5;Antonia Romero Vásquez;1° Básico A;7;Matemáticas;6.2;Ha mejorado notablemente su rendimiento.;;0.92;Mario Riquelme;Apoderado: Ana Castro;Apoderado informa diagnóstico reciente de TDAH del estudiante. Se acuerda derivar a equipo PIE para evaluación de apoyos.
5;Antonia Romero Vásquez;1° Básico A;7;Ciencias Naturales;6.8;;;0.92;Mario Riquelme;Apoderado: Ana Castro;Apoderado informa diagnóstico reciente de TDAH del estudiante. Se acuerda derivar a equipo PIE para evaluación de apoyos.
5;Antonia Romero Vásquez;1° Básico A;7;Historia;6.0;;;0.92;Mario Riquelme;Apoderado: Ana Castro;Apoderado informa diagnóstico reciente de TDAH del estudiante. Se acuerda derivar a equipo PIE para evaluación de apoyos.
5;Antonia Romero Vásquez;1° Básico A;7;Inglés;6.1;;;0.92;Mario Riquelme;Apoderado: Ana Castro;Apoderado informa diagnóstico reciente de TDAH del estudiante. Se acuerda derivar a equipo PIE para evaluación de apoyos.
5;Antonia Romero Vásquez;1° Básico A;7;Música;6.5;;;0.92;Mario Riquelme;Apoderado: Ana Castro;Apoderado informa diagnóstico reciente de TDAH del estudiante. Se acuerda derivar a equipo PIE para evaluación de apoyos.
5;Antonia Romero Vásquez;1° Básico A;7;Artes Visuales;5.4;Excelente participación en clases.;;0.92;Mario Riquelme;Apoderado: Ana Castro;Apoderado informa diagnóstico reciente de TDAH del estudiante. Se acuerda derivar a equipo PIE para evaluación de apoyos.
5;Antonia Romero Vásquez;1° Básico A;7;Educación Física;5.9;;;0.92;Mario Riquelme;Apoderado: Ana Castro;Apoderado informa diagnóstico reciente de TDAH del estudiante. Se acuerda derivar a equipo PIE para evaluación de apoyos.
6;María Escobar Soto;1° Básico B;7;Lenguaje;4.0;;;0.95;Andrea Campos;Apoderado: Francisca Soto;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
6;María Escobar Soto;1° Básico B;7;Matemáticas;4.4;Excelente participación en clases.;;0.95;Andrea Campos;Apoderado: Francisca Soto;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
6;María Escobar Soto;1° Básico B;7;Ciencias Naturales;4.1;;;0.95;Andrea Campos;Apoderado: Francisca Soto;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
6;María Escobar Soto;1° Básico B;7;Historia;4.1;Excelente participación en clases.;;0.95;Andrea Campos;Apoderado: Francisca Soto;Se felicita al apoderado por el notable avance del estudiante en conducta y responsabilidad.
